Staten Island Rolling Sales File.  All Sales From August 2012 - August 2013. ,,,,,,,,,,,,,,,,,,,,
Sales File as of 08/30/2013  Coop Sales Files as of 09/18/2013,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 09/06/13, Descriptive Data is as of 06/01/13",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,"APART
MENT
NUMBER",ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,"SALE
PRICE",SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6233,4, ,A2, 287 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,"6,000","1,032",1935, 1 , A2 ,"$70,000",10/4/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6233,41, ,A1, 590 ARDEN AVENUE                          ,            ,10312,1,0,1,"8,000","1,920",1930, 1 , A1 ,$0,11/15/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6233,56, ,A2, 135 RATHBUN AVENUE                        ,            ,10312,1,0,1,"4,000","2,088",1960, 1 , A2 ,$0,11/12/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6234,7, ,A1, 329 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,"4,000","2,178",1965, 1 , A1 ,"$655,000",2/28/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6236,41, ,A1, 516 ARDEN AVENUE                          ,            ,10312,1,0,1,"6,000","1,306",1935, 1 , A1 ,$0,3/5/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6236,72, ,A2, 153 SINCLAIR AVENUE                       ,            ,10312,1,0,1,"10,000","3,280",1975, 1 , A2 ,$0,2/7/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6236,72, ,A2, 153 SINCLAIR AVENUE                       ,            ,10312,1,0,1,"10,000","3,280",1975, 1 , A2 ,$0,2/7/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6238,10, ,A1, 447 JEFFERSON BOULEVARD                   ,            ,10312,1,0,1,"6,000","2,727",1940, 1 , A1 ,"$513,000",11/29/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6239,67, ,A1, 225 CROWN AVENUE                          ,            ,10312,1,0,1,"9,600","3,680",1980, 1 , A1 ,"$915,000",5/31/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6239,83, ,A1, 257 CROWN AVENUE                          ,            ,10312,1,0,1,"9,600","1,728",1975, 1 , A1 ,"$400,000",12/17/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6242,70, ,A1, 27 SUMMIT PLACE                           ,            ,10312,1,0,1,"8,250","2,560",1975, 1 , A1 ,"$462,500",5/16/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6242,70, ,A1, 27 SUMMIT PLACE                           ,            ,10312,1,0,1,"8,250","2,560",1975, 1 , A1 ,$0,11/16/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6243,40, ,A1, 112 BARCLAY AVENUE                        ,            ,10312,1,0,1,"6,000","2,147",1950, 1 , A1 ,"$733,140",8/3/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6243,43, ,A3, 120 BARCLAY AVENUE                        ,            ,10312,1,0,1,"10,000","3,175",2012, 1 , A2 ,"$535,000",8/29/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6243,64, ,A1, 43 MOSELY AVENUE                          ,            ,10312,1,0,1,"5,500","3,831",1920, 1 , A1 ,"$625,000",12/26/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,1, ,A2, 4969 AMBOY ROAD                           ,            ,10312,1,0,1,"7,695","1,300",1960, 1 , A2 ,"$325,000",6/27/2013
