"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apart.ment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"45",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6249,8," ","A2","275 ALBEE AVENUE                         ","            ",10312,1,0,1,"6,180","1,946",1975,1,"A2","$427,500",2012-08-30,427500,1946,6180,0
"46",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6249,25," ","A1","1052 ANNADALE ROAD                       ","            ",10312,1,0,1,"4,386","2,300",2011,1,"A1","$507,000",2013-04-17,507000,2300,4386,0
"48",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6249,26," ","A1","1054 ANNADALE ROAD                       ","            ",10312,1,0,1,"4,201","2,300",2011,1,"A1","$499,902",2013-07-26,499902,2300,4201,0
"49",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6249,33," ","A1","1042 ANNADALE ROAD                       ","            ",10312,1,0,1,"13,728","2,688",1925,1,"A1","$629,111",2013-05-07,629111,2688,13728,0
"50",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6249,38," ","A1","1040 ANNADALE ROAD                       ","            ",10312,1,0,1,"7,198","1,520",1925,1,"A1","$570,189",2013-05-07,570189,1520,7198,0
"51",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6249,163," ","A1","39 ELY AVENUE                            ","            ",10312,1,0,1,"4,452","1,768",1965,1,"A1","$500,000",2013-01-28,5e+05,1768,4452,0
"52",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6249,215," ","A1","1002 ANNADALE ROAD                       ","            ",10312,1,0,1,"4,980","2,208",2012,1,"A1","$595,676",2013-05-31,595676,2208,4980,0
"53",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6249,216," ","A1","998 ANNADALE ROAD                        ","            ",10312,1,0,1,"4,864","2,208",2012,1,"A1","$599,999",2012-12-07,599999,2208,4864,0
"54",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6249,217," ","A1","994 ANNADALE ROAD                        ","            ",10312,1,0,1,"4,518","2,208",2012,1,"A1","$610,948",2012-12-12,610948,2208,4518,0
"55",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6252,1," ","A2","87 DOWNES AVENUE                         ","            ",10312,1,0,1,"4,000","2,200",1974,1,"A2","$480,000",2012-11-09,480000,2200,4000,0
"56",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6259,40," ","A2","100 JEFFERSON BOULEVARD                  ","            ",10312,1,0,1,"4,000","1,300",1955,1,"A2","$485,000",2013-05-23,485000,1300,4000,0
"57",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6259,40," ","A2","100 JEFFERSON BOULEVARD                  ","            ",10312,1,0,1,"4,000","1,300",1955,1,"A2","$360,000",2012-12-19,360000,1300,4000,0
"60",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6261,17," ","A2","237 EDGEGROVE AVENUE                     ","            ",10312,1,0,1,"8,000","1,150",1925,1,"A2","$497,500",2012-12-17,497500,1150,8000,0
"61",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6266,27," ","A1","278 SHELDON AVENUE                       ","            ",10312,1,0,1,"4,000","1,494",1930,1,"A1","$465,000",2013-05-15,465000,1494,4000,0
"62",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6267,38," ","A3","346 JEFFERSON BOULEVARD                  ","            ",10312,1,0,1,"6,000","4,160",2011,1,"A3","$865,000",2013-05-23,865000,4160,6000,0
"63",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6268,66," ","A2","223 SINCLAIR AVENUE                      ","            ",10312,1,0,1,"4,200","1,864",1965,1,"A2","$500,000",2012-08-23,5e+05,1864,4200,0
"64",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6269,47," ","A1","237 STAFFORD AVENUE                      ","            ",10312,1,0,1,"4,000","1,360",1930,1,"A1","$340,000",2012-10-26,340000,1360,4000,0
"65",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6271,15," ","A1","472 JEFFERSON BOULEVARD                  ","            ",10312,1,0,1,"8,000","1,708",1940,1,"A1","$540,000",2013-01-14,540000,1708,8000,0
"72",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6299,31," ","A1","162 HEENAN AVENUE                        ","            ",10312,1,0,1,"4,000","3,025",1999,1,"A1","$630,000",2013-07-01,630000,3025,4000,0
"73",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6299,42," ","A1","77 RAMONA AVENUE                         ","            ",10312,1,0,1,"4,000","2,669",1974,1,"A1","$715,000",2013-02-15,715000,2669,4000,0
"79",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6322,6," ","A2","250 ALBEE AVENUE                         ","            ",10312,1,0,1,"8,000","1,432",1960,1,"A2","$500,000",2012-10-24,5e+05,1432,8000,0
"83",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6370,45," ","A1","286 HOLDRIDGE AVENUE                     ","            ",10312,1,0,1,"6,790","2,550",1975,1,"A1","$600,000",2012-10-17,6e+05,2550,6790,0
"84",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6377,27," ","A1","122 EYLANDT STREET                       ","            ",10312,1,0,1,"8,000","3,040",1987,1,"A1","$875,000",2013-01-18,875000,3040,8000,0
"85",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6378,1," ","A1","161 EYLANDT STREET                       ","            ",10312,1,0,1,"6,100","2,370",1970,1,"A1","$625,000",2012-12-27,625000,2370,6100,0
"86",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6382,69," ","A1","145 TALLMAN STREET                       ","            ",10312,1,0,1,"8,000","2,800",1983,1,"A1","$672,000",2013-07-10,672000,2800,8000,0
"87",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6399,12," ","A2","86 ALLEN PLACE                           ","            ",10312,1,0,1,"5,600","1,104",1930,1,"A2","$220,000",2013-02-27,220000,1104,5600,0
"89",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6425,40," ","A1","76 RAE AVENUE                            ","            ",10312,1,0,1,"4,000","1,278",1935,1,"A1","$375,000",2012-09-19,375000,1278,4000,0
"90",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6441,96," ","A1","4 DOLE STREET                            ","            ",10312,1,0,1,"4,800","972",1925,1,"A1","$385,000",2012-09-10,385000,972,4800,0
"92",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6455,28," ","A1","404 POILLON AVENUE                       ","            ",10312,1,0,1,"5,859","2,913",1997,1,"A1","$850,000",2012-08-17,850000,2913,5859,0
"94",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6469,105," ","A2","94 POILLON AVENUE                        ","            ",10312,1,0,1,"13,747","1,280",1960,1,"A2","$490,000",2013-05-31,490000,1280,13747,0
"95",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6475,150," ","A3","151 NICOLOSI DRIVE                       ","            ",10312,1,0,1,"21,065","8,380",1997,1,"A3","$2,450,000",2012-08-09,2450000,8380,21065,0
"98",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6475,521," ","A5","353 ARBUTUS AVENUE                       ","            ",10312,1,0,1,"2,285","1,922",2011,1,"A5","$469,000",2013-01-24,469000,1922,2285,0
"99",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6475,528," ","A5","343 ARBUTUS AVENUE                       ","            ",10312,1,0,1,"3,369","1,922",2011,1,"A5","$465,426",2012-09-14,465426,1922,3369,0
"100",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6475,530," ","A5","5198 HYLAN BOULEVARD                     ","            ",10312,1,0,1,"2,151","2,121",2011,1,"A5","$496,860",2012-08-09,496860,2121,2151,0
"101",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6475,533," ","A5","5192 HYLAN BOULEVARD                     ","            ",10312,1,0,1,"2,216","2,121",2011,1,"A5","$499,000",2012-08-01,499000,2121,2216,0
"102",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6517,41," ","A9","40 ARBUTUS WAY                           ","            ",10312,1,0,1,"17,275","4,821",1986,1,"A9","$845,000",2013-06-18,845000,4821,17275,0
"104",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",5407,15," ","B2","96 ELMBANK STREET                        ","            ",10312,2,0,2,"5,000","3,600",2001,1,"B2","$698,000",2013-05-09,698000,3600,5000,0
"105",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6205,129," ","B2","10 MAY PLACE                             ","            ",10312,2,0,2,"6,400","2,850",1985,1,"B2","$680,000",2013-07-18,680000,2850,6400,0
"109",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6221,42," ","B9","16 RALPH AVENUE                          ","            ",10312,2,0,2,"2,400","2,230",2004,1,"B9","$480,000",2012-11-21,480000,2230,2400,0
"110",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6221,140," ","B9","14 RALPH AVENUE                          ","            ",10312,2,0,2,"2,400","2,230",2004,1,"B9","$487,500",2013-06-11,487500,2230,2400,0
"111",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6227,67," ","B2","936 CARLTON BOULEVARD                    ","            ",10312,2,0,2,"4,000","3,140",2004,1,"B2","$700,000",2013-07-24,7e+05,3140,4000,0
"113",5,"ANNADALE                 ","02  TWO FAMILY HOMES                        ","1",6233,70," ","B2","167 RATHBUN AVENUE                       ","            ",10312,2,0,2,"4,000","2,800",2002,1,"B2","$640,000",2012-08-29,640000,2800,4000,0
