"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apart.ment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"1193",5,"DONGAN HILLS-COLONY      ","02  TWO FAMILY HOMES                        ","1",848,340," ","B2","5 DUNCAN STREET                          ","            ",10304,2,0,2,"3,800","1,984",1965,1,"B2","$605,000",2012-09-20,605000,1984,3800,0
"1194",5,"DONGAN HILLS-COLONY      ","02  TWO FAMILY HOMES                        ","1",849,50," ","B3","37 VISTA AVENUE                          ","            ",10304,2,0,2,"5,200","1,830",1920,1,"B3","$348,000",2013-02-15,348000,1830,5200,0
"1195",5,"DONGAN HILLS-COLONY      ","02  TWO FAMILY HOMES                        ","1",869,273," ","B2","96 GREENPORT STREET                      ","            ",10304,2,0,2,"4,095","2,355",1965,1,"B2","$592,000",2012-12-05,592000,2355,4095,0
"1196",5,"DONGAN HILLS-COLONY      ","02  TWO FAMILY HOMES                        ","1",869,664," ","B3","47 ROCHELLE STREET                       ","            ",10304,2,0,2,"8,000","1,632",1955,1,"B3","$430,000",2012-10-26,430000,1632,8000,0
"1199",5,"DONGAN HILLS-COLONY      ","02  TWO FAMILY HOMES                        ","1",869,952," ","B2","85 GREENPORT STREET                      ","            ",10304,2,0,2,"4,284","2,024",1965,1,"B2","$678,000",2013-02-19,678000,2024,4284,0
"1207",5,"DONGAN HILLS-OLD TOWN    ","01  ONE FAMILY HOMES                        ","1",3221,32," ","A2","78 KERMIT AVENUE                         ","            ",10305,1,0,1,"4,000","1,129",1920,1,"A2","$225,000",2012-10-18,225000,1129,4000,0
"1209",5,"DONGAN HILLS-OLD TOWN    ","01  ONE FAMILY HOMES                        ","1",3222,12," ","A1","17 LEDYARD PLACE                         ","            ",10305,1,0,1,"3,800","1,656",1980,1,"A1","$365,000",2013-04-08,365000,1656,3800,0
"1213",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5324,167," ","A2","35 PRESTON AVENUE                        ","            ",10312,1,0,1,"4,000","1,144",1960,1,"A2","$418,720",2013-06-04,418720,1144,4000,0
"1215",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5324,187," ","A2","13 OGDEN STREET                          ","            ",10312,1,0,1,"4,000","1,056",1965,1,"A2","$385,000",2013-05-10,385000,1056,4000,0
"1219",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5328,42," ","A2","464 OAKDALE STREET                       ","            ",10312,1,0,1,"4,000","1,848",1965,1,"A2","$382,500",2013-01-08,382500,1848,4000,0
"1220",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5330,7," ","A2","411 SYCAMORE STREET                      ","            ",10312,1,0,1,"4,300","960",1970,1,"A2","$362,000",2012-09-12,362000,960,4300,0
"1221",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5330,27," ","A2","451 SYCAMORE STREET                      ","            ",10312,1,0,1,"4,500","960",1970,1,"A2","$384,000",2013-04-26,384000,960,4500,0
"1223",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5330,37," ","A2","34 EASTMAN STREET                        ","            ",10312,1,0,1,"4,000","960",1970,1,"A2","$400,000",2012-09-17,4e+05,960,4000,0
"1224",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5332,41," ","A1","185 RETFORD AVENUE                       ","            ",10312,1,0,1,"5,860","2,200",1992,1,"A1","$144,000",2012-12-19,144000,2200,5860,0
"1225",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5335,33," ","A1","44 RANKIN STREET                         ","            ",10312,1,0,1,"3,500","2,546",2005,1,"A1","$760,000",2012-08-30,760000,2546,3500,0
"1227",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5340,35," ","A2","225 LYNDALE AVENUE                       ","            ",10312,1,0,1,"6,500","1,264",1955,1,"A2","$369,000",2013-04-15,369000,1264,6500,0
"1232",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5348,509," ","A2","291 RETFORD AVENUE                       ","            ",10312,1,0,1,"6,750","1,000",1955,1,"A2","$449,500",2013-06-17,449500,1000,6750,0
"1234",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5349,37," ","A2","397 PRESTON AVENUE                       ","            ",10312,1,0,1,"5,850","1,000",1955,1,"A2","$415,000",2012-10-02,415000,1000,5850,0
"1236",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5350,10," ","A5","416 PRESTON AVENUE                       ","            ",10312,1,0,1,"2,510","1,184",1960,1,"A5","$320,000",2012-12-27,320000,1184,2510,0
"1237",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5350,59," ","A2","229 HALES AVENUE                         ","            ",10312,1,0,1,"3,740","2,162",1965,1,"A2","$425,000",2013-05-30,425000,2162,3740,0
"1240",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5357,42," ","A1","1391 ARDEN AVENUE                        ","            ",10312,1,0,1,"4,000","1,900",1945,1,"A1","$475,000",2013-01-08,475000,1900,4000,0
"1241",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5357,66," ","A2","1347 ARDEN AVENUE                        ","            ",10312,1,0,1,"4,000","960",1965,1,"A2","$348,100",2013-05-17,348100,960,4000,0
"1242",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5362,1," ","A2","119 SEIDMAN AVENUE                       ","            ",10312,1,0,1,"5,700","1,925",1975,1,"A2","$333,000",2013-01-29,333000,1925,5700,0
"1243",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5362,26," ","A2","168 WOODS OF ARDEN ROAD                  ","            ",10312,1,0,1,"4,000","1,196",1965,1,"A2","$495,000",2013-06-21,495000,1196,4000,0
"1244",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5362,26," ","A2","168 WOODS OF ARDEN ROAD                  ","            ",10312,1,0,1,"4,000","1,196",1965,1,"A2","$264,000",2012-10-04,264000,1196,4000,0
"1245",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5362,53," ","A2","189 SEIDMAN AVENUE                       ","            ",10312,1,0,1,"4,000","1,086",1950,1,"A2","$405,000",2012-10-02,405000,1086,4000,0
"1247",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5362,83," ","A2","127 SEIDMAN AVENUE                       ","            ",10312,1,0,1,"4,000","1,196",1965,1,"A2","$480,000",2013-01-14,480000,1196,4000,0
"1249",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5363,20," ","A2","148 SEIDMAN AVENUE                       ","            ",10312,1,0,1,"4,000","1,150",1965,1,"A2","$420,000",2012-10-04,420000,1150,4000,0
"1250",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5363,42," ","A2","192 SEIDMAN AVENUE                       ","            ",10312,1,0,1,"4,000","1,150",1965,1,"A2","$415,000",2013-06-10,415000,1150,4000,0
"1252",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5365,11," ","A2","138 KOCH BOULEVARD                       ","            ",10312,1,0,1,"4,000","1,008",1960,1,"A2","$385,000",2012-10-10,385000,1008,4000,0
"1253",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5366,4," ","A2","247 WOODS OF ARDEN ROAD                  ","            ",10312,1,0,1,"4,400","1,000",1960,1,"A2","$345,000",2013-01-04,345000,1000,4400,0
"1254",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5370,39," ","A2","19 ORCHARD LANE                          ","            ",10312,1,0,1,"3,520","1,182",1960,1,"A2","$450,000",2012-12-21,450000,1182,3520,0
"1255",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5371,61," ","A2","325 WOODS OF ARDEN ROAD                  ","            ",10312,1,0,1,"6,560","1,251",1965,1,"A2","$518,000",2013-06-27,518000,1251,6560,0
"1256",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5373,27," ","A2","8 OSAGE LANE                             ","            ",10312,1,0,1,"4,600","1,196",1955,1,"A2","$460,000",2012-09-10,460000,1196,4600,0
"1257",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5375,3," ","A2","52 KINGHORN STREET                       ","            ",10312,1,0,1,"4,500","1,196",1955,1,"A2","$445,000",2013-06-26,445000,1196,4500,0
"1260",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5376,23," ","A1","47 ORCHARD LANE SOUTH                    ","            ",10312,1,0,1,"6,853","1,350",1970,1,"A1","$480,000",2013-07-02,480000,1350,6853,0
"1262",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5378,133," ","A1","409 WOODS OF ARDEN ROAD                  ","            ",10312,1,0,1,"4,500","3,900",2001,1,"A1","$730,000",2012-09-14,730000,3900,4500,0
"1264",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5381,50," ","A2","43 NOEL STREET                           ","            ",10312,1,0,1,"4,750","2,142",1970,1,"A2","$410,000",2013-05-20,410000,2142,4750,0
"1265",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5381,53," ","A1","1595 ARDEN AVENUE                        ","            ",10312,1,0,1,"7,440","4,999",2001,1,"A1","$900,000",2013-04-23,9e+05,4999,7440,0
"1266",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5382,20," ","A2","8 NOEL STREET                            ","            ",10312,1,0,1,"9,500","1,216",1965,1,"A2","$595,000",2013-05-07,595000,1216,9500,0
"1269",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5386,25," ","A1","94 BATHGATE STREET                       ","            ",10312,1,0,1,"3,225","1,680",1965,1,"A1","$525,000",2012-11-09,525000,1680,3225,0
"1272",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5410,49," ","A5","488 RETFORD AVENUE                       ","            ",10312,1,0,1,"3,210","1,410",1975,1,"A5","$390,000",2013-01-15,390000,1410,3210,0
"1273",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5415,85," ","A1","91 WAKEFIELD ROAD                        ","            ",10312,1,0,1,"10,175","5,920",2009,1,"A1","$1,125,000",2012-10-24,1125000,5920,10175,0
"1276",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5421,19," ","A5","37 BLUEBERRY LANE                        ","            ",10312,1,0,1,"2,808","1,890",1975,1,"A5","$395,000",2013-03-28,395000,1890,2808,0
"1279",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5592,1," ","A2","4675 AMBOY ROAD                          ","            ",10312,1,0,1,"9,873","1,750",1970,1,"A2","$248,805",2013-01-11,248805,1750,9873,0
"1281",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5593,31," ","A1","1225 ARDEN AVENUE                        ","            ",10312,1,0,1,"4,773","1,672",1965,1,"A1","$338,000",2013-05-24,338000,1672,4773,0
"1282",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5593,145," ","A5","27 VANESSA LANE                          ","            ",10312,1,0,1,"2,250","1,600",1999,1,"A5","$310,000",2013-01-23,310000,1600,2250,0
"1283",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5595,1," ","A9","3748 RICHMOND AVENUE                     ","            ",10312,1,0,1,"2,668","1,386",1970,1,"A9","$370,000",2013-03-21,370000,1386,2668,0
"1285",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5597,14," ","A5","24 CHESEBROUGH STREET                    ","            ",10312,1,0,1,"1,400","2,176",1992,1,"A5","$377,500",2013-01-17,377500,2176,1400,0
"1287",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5599,107," ","A9","586 LAMOKA AVENUE                        ","            ",10312,1,0,1,"3,156","2,904",1978,1,"A9","$482,500",2013-04-02,482500,2904,3156,0
"1289",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5600,34," ","A1","48 MEMPHIS AVENUE                        ","            ",10312,1,0,1,"4,000","1,848",1975,1,"A1","$465,000",2012-11-14,465000,1848,4000,0
"1293",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5603,110," ","A2","90 FIGUREA AVENUE                        ","            ",10312,1,0,1,"4,100","1,292",1977,1,"A2","$455,000",2012-10-11,455000,1292,4100,0
"1295",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5604,101," ","A2","115 FIGUREA AVENUE                       ","            ",10312,1,0,1,"3,854","1,320",1977,1,"A2","$475,000",2012-10-04,475000,1320,3854,0
"1296",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5604,115," ","A2","110 AUGUSTA AVENUE                       ","            ",10312,1,0,1,"4,600","1,540",1977,1,"A2","$462,500",2013-01-23,462500,1540,4600,0
"1297",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5605,111," ","A2","430 GENESEE AVENUE                       ","            ",10312,1,0,1,"4,100","800",1965,1,"A2","$400,000",2012-09-07,4e+05,800,4100,0
"1299",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5607,57," ","A2","306 WAINWRIGHT AVENUE                    ","            ",10312,1,0,1,"4,000","2,104",1965,1,"A2","$300,000",2012-12-14,3e+05,2104,4000,0
"1302",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5612,65," ","A1","23 MACON AVENUE                          ","            ",10312,1,0,1,"4,000","1,600",1970,1,"A1","$162,500",2013-03-26,162500,1600,4000,0
"1304",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5612,257," ","A5","66 BRANDIS AVENUE                        ","            ",10312,1,0,1,"840","1,380",1993,1,"A5","$27,000",2013-05-22,27000,1380,840,0
"1305",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5612,258," ","A5","64 BRANDIS AVENUE                        ","            ",10312,1,0,1,"840","1,380",1993,1,"A5","$248,000",2013-05-29,248000,1380,840,0
"1306",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5613,106," ","A5","8 KATHY COURT                            ","            ",10312,1,0,1,"780","736",1988,1,"A5","$266,000",2012-12-28,266000,736,780,0
"1307",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5614,102," ","A5","62A MACON AVENUE                         ","            ",10312,1,0,1,"459","816",1988,1,"A5","$206,700",2013-06-12,206700,816,459,0
"1308",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5614,105," ","A5","66A MACON AVENUE                         ","            ",10312,1,0,1,"486","816",1988,1,"A5","$209,000",2013-02-07,209000,816,486,0
"1309",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5614,114," ","A5","84A MACON AVENUE                         ","            ",10312,1,0,1,"459","816",1988,1,"A5","$201,000",2013-04-11,201000,816,459,0
"1310",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5614,138," ","A5","64 MACON AVENUE                          ","            ",10312,1,0,1,"714","816",1988,1,"A5","$212,000",2012-12-14,212000,816,714,0
"1311",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5614,169," ","A5","92 MACON AVENUE                          ","            ",10312,1,0,1,"2,493","2,256",2008,1,"A5","$25,000",2013-02-11,25000,2256,2493,0
"1312",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5614,225," ","A5","711 BARLOW AVENUE                        ","            ",10312,1,0,1,"1,550","1,944",1992,1,"A5","$325,000",2012-08-13,325000,1944,1550,0
"1314",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5615,91," ","A2","47 VAN BRUNT STREET                      ","            ",10312,1,0,1,"4,400","858",1965,1,"A2","$425,000",2012-09-25,425000,858,4400,0
"1315",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5615,93," ","A2","43 VAN BRUNT STREET                      ","            ",10312,1,0,1,"4,400","858",1965,1,"A2","$470,000",2012-11-30,470000,858,4400,0
"1317",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5616,20," ","A9","1103 ARDEN AVENUE                        ","            ",10312,1,0,1,"2,750","1,280",1960,1,"A9","$365,000",2013-05-31,365000,1280,2750,0
"1319",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5616,79," ","A1","64 VAN BRUNT STREET                      ","            ",10312,1,0,1,"6,000","1,656",1920,1,"A1","$447,500",2012-08-17,447500,1656,6000,0
"1320",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5616,182," ","A5","441 POMPEY AVENUE                        ","            ",10312,1,0,1,"1,900","1,328",1978,1,"A5","$377,500",2012-10-12,377500,1328,1900,0
"1321",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5619,53," ","A9","84 MOFFETT STREET                        ","            ",10312,1,0,1,"3,040","1,440",1970,1,"A9","$240,000",2013-02-12,240000,1440,3040,0
"1322",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5619,57," ","A9","76 MOFFETT STREET                        ","            ",10312,1,0,1,"2,964","1,440",1970,1,"A9","$360,000",2013-01-28,360000,1440,2964,0
"1324",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5619,128," ","A9","37 ADLAI CIRCLE                          ","            ",10312,1,0,1,"2,500","1,080",1970,1,"A9","$402,500",2013-05-06,402500,1080,2500,0
"1326",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5621,51," ","A9","31 MOFFETT STREET                        ","            ",10312,1,0,1,"2,212","800",1974,1,"A9","$391,500",2013-03-21,391500,800,2212,0
"1328",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5622,10," ","A5","185 RYE AVENUE                           ","            ",10312,1,0,1,"5,535","2,052",1987,1,"A5","$425,000",2012-09-07,425000,2052,5535,0
"1329",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5622,162," ","A5","22 MOTT STREET                           ","            ",10312,1,0,1,"2,470","2,052",1988,1,"A5","$315,000",2013-03-07,315000,2052,2470,0
"1330",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5627,23," ","A2","34 ROCHELLE PLACE                        ","            ",10312,1,0,1,"8,000","876",1955,1,"A2","$575,000",2013-06-10,575000,876,8000,0
"1331",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5627,73," ","A1","25 RYE AVENUE                            ","            ",10312,1,0,1,"4,000","2,300",1993,1,"A1","$595,000",2012-09-04,595000,2300,4000,0
"1332",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5628,52," ","A2","541 WILSON AVENUE                        ","            ",10312,1,0,1,"9,040","748",1965,1,"A2","$540,000",2012-12-17,540000,748,9040,0
"1333",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5636,77," ","A2","164 FIGUREA AVENUE                       ","            ",10312,1,0,1,"4,100","1,496",1977,1,"A2","$535,000",2012-09-11,535000,1496,4100,0
"1334",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5636,177," ","A2","781 KATAN AVENUE                         ","            ",10312,1,0,1,"4,100","960",1965,1,"A2","$200,000",2013-04-04,2e+05,960,4100,0
"1336",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5642,101," ","A9","19 MONTEREY AVENUE                       ","            ",10312,1,0,1,"3,288","2,608",1991,1,"A9","$554,400",2013-06-21,554400,2608,3288,0
"1337",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5642,115," ","A5","43 MONTEREY AVENUE                       ","            ",10312,1,0,1,"6,569","2,301",1989,1,"A5","$495,500",2013-02-13,495500,2301,6569,0
"1338",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5642,184," ","A5","774 BARLOW AVENUE                        ","            ",10312,1,0,1,"1,425","1,381",1992,1,"A5","$315,000",2012-10-15,315000,1381,1425,0
"1339",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5642,189," ","A5","764 BARLOW AVENUE                        ","            ",10312,1,0,1,"984","1,116",1991,1,"A5","$305,000",2013-04-11,305000,1116,984,0
"1340",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5643,63," ","A5","740 BARLOW AVENUE                        ","            ",10312,1,0,1,"948","1,024",1991,1,"A5","$337,500",2012-09-07,337500,1024,948,0
"1341",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5643,143," ","A5","62 READING AVENUE                        ","            ",10312,1,0,1,"2,000","1,576",1992,1,"A5","$420,000",2013-01-04,420000,1576,2000,0
"1342",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5643,144," ","A5","60 READING AVENUE                        ","            ",10312,1,0,1,"2,040","1,576",1992,1,"A5","$400,000",2012-08-20,4e+05,1576,2040,0
"1343",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5644,28," ","A1","74 PERKIOMEN AVENUE                      ","            ",10312,1,0,1,"4,000","1,904",1970,1,"A1","$510,000",2013-02-08,510000,1904,4000,0
"1344",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5645,20," ","A9","199 CROSSFIELD AVENUE                    ","            ",10312,1,0,1,"1,900","1,140",1978,1,"A9","$425,000",2012-09-27,425000,1140,1900,0
"1345",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5645,56," ","A5","2 DORVAL AVENUE                          ","            ",10312,1,0,1,"3,552","1,396",1990,1,"A5","$317,000",2013-02-28,317000,1396,3552,0
"1347",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5652,31," ","A1","72 BERRY AVENUE                          ","            ",10312,1,0,1,"4,560","2,400",1977,1,"A1","$437,000",2013-02-27,437000,2400,4560,0
"1348",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5652,67," ","A9","52 BERRY AVENUE                          ","            ",10312,1,0,1,"3,135","1,584",1978,1,"A9","$339,500",2013-03-06,339500,1584,3135,0
"1349",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5653,44," ","A9","79 BERRY AVENUE                          ","            ",10312,1,0,1,"3,201","1,920",1978,1,"A9","$438,000",2012-08-06,438000,1920,3201,0
"1351",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5653,127," ","A5","15 BERRY AVENUE                          ","            ",10312,1,0,1,"968","1,480",1989,1,"A5","$274,000",2012-09-28,274000,1480,968,0
"1352",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5654,8," ","A9","83 ANNADALE ROAD                         ","            ",10312,1,0,1,"3,135","1,920",1975,1,"A9","$330,000",2013-05-29,330000,1920,3135,0
"1355",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5655,44," ","A5","77 TOKEN STREET                          ","            ",10312,1,0,1,"1,442","1,120",1994,1,"A5","$316,000",2012-12-27,316000,1120,1442,0
"1356",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5656,37," ","A9","12 FUTURITY PLACE                        ","            ",10312,1,0,1,"3,330","1,120",1970,1,"A9","$350,000",2012-12-28,350000,1120,3330,0
"1357",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5658,176," ","A5","68 WOLCOTT AVENUE                        ","            ",10312,1,0,1,"1,600","1,600",1994,1,"A5","$423,000",2013-04-01,423000,1600,1600,0
"1359",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5659,20," ","A5","33 WOLCOTT AVENUE                        ","            ",10312,1,0,1,"3,000","1,980",1994,1,"A5","$369,200",2013-01-16,369200,1980,3000,0
"1361",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5662,306," ","A5","582 GENESEE AVENUE                       ","            ",10312,1,0,1,"2,775","1,536",1975,1,"A5","$438,000",2012-11-03,438000,1536,2775,0
"1362",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5662,312," ","A5","594 GENESEE AVENUE                       ","            ",10312,1,0,1,"2,005","1,344",1975,1,"A5","$480,000",2013-01-23,480000,1344,2005,0
"1364",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5668,81," ","A5","170 SHOTWELL AVENUE                      ","            ",10312,1,0,1,"2,500","1,632",1980,1,"A5","$395,000",2012-10-02,395000,1632,2500,0
"1365",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5668,94," ","A5","188 SHOTWELL AVENUE                      ","            ",10312,1,0,1,"3,312","1,632",1980,1,"A5","$417,000",2012-11-29,417000,1632,3312,0
"1366",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5671,12," ","A5","14 LUDLOW STREET                         ","            ",10312,1,0,1,"2,508","1,344",1978,1,"A5","$330,000",2013-07-24,330000,1344,2508,0
"1367",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5671,60," ","A1","99 LORING AVENUE                         ","            ",10312,1,0,1,"2,800","1,600",1978,1,"A1","$350,000",2013-03-07,350000,1600,2800,0
"1368",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5672,64," ","A1","15 WALKER COURT                          ","            ",10312,1,0,1,"2,970","1,678",1975,1,"A1","$370,000",2013-06-28,370000,1678,2970,0
"1369",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5674,39," ","A5","28 WOEHRLE AVENUE                        ","            ",10312,1,0,1,"2,750","1,480",1975,1,"A5","$223,500",2013-05-16,223500,1480,2750,0
"1370",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5674,80," ","A5","71 SHOTWELL AVENUE                       ","            ",10312,1,0,1,"3,125","2,240",1980,1,"A5","$374,400",2013-01-10,374400,2240,3125,0
"1371",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5675,40," ","A5","69 WOEHRLE AVENUE                        ","            ",10312,1,0,1,"2,400","1,840",1975,1,"A5","$380,000",2013-05-31,380000,1840,2400,0
"1373",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5675,87," ","A5","70 LORING AVENUE                         ","            ",10312,1,0,1,"2,400","1,840",1975,1,"A5","$385,000",2012-08-03,385000,1840,2400,0
"1375",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5676,115," ","A5","136 ALEXANDER AVENUE                     ","            ",10312,1,0,1,"2,800","1,332",1980,1,"A5","$432,600",2013-03-26,432600,1332,2800,0
"1378",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5679,95," ","A1","31 MC ARTHUR AVENUE                      ","            ",10312,1,0,1,"4,000","2,300",1985,1,"A1","$449,900",2013-06-20,449900,2300,4000,0
"1380",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5680,95," ","A9","214 ANNADALE ROAD                        ","            ",10312,1,0,1,"3,000","966",1975,1,"A9","$357,075",2013-01-11,357075,966,3000,0
"1382",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5680,315," ","A5","67 ALEXANDER AVENUE                      ","            ",10312,1,0,1,"2,515","1,200",1980,1,"A5","$375,000",2012-11-21,375000,1200,2515,0
"1383",5,"ELTINGVILLE              ","01  ONE FAMILY HOMES                        ","1",5681,16," ","A9","50 SUNFIELD AVENUE                       ","            ",10312,1,0,1,"2,401","1,280",1973,1,"A9","$345,000",2012-11-05,345000,1280,2401,0
